spearman_rho,pvalue,ci_lower,ci_upper,n,model
-0.6977395778796021,9.270988144934133e-129,-0.7462429447776028,-0.6425013008011082,876,Llama-3.1-8B-Instruct
-0.6715307014879963,6.495121014078702e-116,-0.7232258182759865,-0.6178295444743234,876,Qwen_Qwen2.5_7B_Instruct
-0.4741226714042239,2.6864226525446752e-50,-0.5236766948164812,-0.4124649491085864,876,Qwen3-8B
-0.48191696455536764,3.881687692204694e-52,-0.5603064758384594,-0.4103739476704066,876,gemma-3-12b-it
