comparison,statistic,pvalue,corrected_pvalue,significant,mean_diff
0.0 vs 0.3,12350.0,0.06102127773637678,0.2440851109455071,False,0.00428082191780822
0.3 vs 0.7,14085.5,0.37271638965623266,1.0,False,0.000898221581350638
0.7 vs 1.0,14644.5,0.001284543744980017,0.005138174979920068,True,0.00625751021389089
0.0 vs 1.0,16450.5,7.193858708369073e-06,2.8775434833476292e-05,True,0.011436553713049748
