n_samples,mean_agreement,std_agreement,ci_lower,ci_upper
1,0.924068493150685,0.007395088186653362,0.9098173515981736,0.9383561643835616
2,0.9248949771689498,0.007383359733827993,0.9098173515981736,0.9394977168949772
3,0.9501095890410959,0.0061266798921696146,0.9383561643835616,0.9623287671232876
5,0.962771689497717,0.005313489307053069,0.9514554794520548,0.9726027397260274
7,0.9707785388127854,0.00459528358441572,0.9623287671232876,0.9794520547945206
10,0.9775182648401826,0.003941971737240956,0.9697203196347032,0.9851598173515982
15,0.9860091324200915,0.003137601051074795,0.9794520547945206,0.9920091324200914
20,0.9942671232876713,0.0019106997527534473,0.9908675799086758,0.997716894977169
